DATAFLOW,FREQ: Fréquence,SPECIFICATION: Spécification,TIME_PERIOD: Période,OBS_VALUE,NOTE_YEAR_2: Note année 2,NOTE_YEAR_1: Note année 1,NOTE_SPECIFICATION_2: Note spécification 2,NOTE_SPECIFICATION_1: Note spécification 1,OBS_STATUS: Statut d'observation,DECIMALS: Décimales
LU1:DF_X021(1.0),A: Annuelle,CM08001: Bous,2022,1688,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM08001: Bous,2023,1752,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM11002: Contern,2015,3496,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM11002: Contern,2016,3511,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM11002: Contern,2017,3736,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM11002: Contern,2018,3816,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM11002: Contern,2019,3865,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM11002: Contern,2020,3939,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM11002: Contern,2021,3968,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM11002: Contern,2022,4177,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM11002: Contern,2023,4374,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM11005: Niederanven,2015,5737,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM11005: Niederanven,2016,5866,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM11005: Niederanven,2017,6090,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM11005: Niederanven,2018,6156,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM11005: Niederanven,2019,6222,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM11005: Niederanven,2020,6312,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM11005: Niederanven,2021,6349,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM11005: Niederanven,2022,6449,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM11005: Niederanven,2023,6660,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM12001: Bissen,2015,2846,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM12001: Bissen,2016,2879,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM12001: Bissen,2017,3021,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM12001: Bissen,2018,3095,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM12001: Bissen,2019,3183,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM12001: Bissen,2020,3216,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM12001: Bissen,2021,3269,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM12001: Bissen,2022,3329,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM12001: Bissen,2023,3450,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM06003: Berdorf,2015,1826,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM06003: Berdorf,2016,1931,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM06003: Berdorf,2017,1870,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM06003: Berdorf,2018,1747,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM06003: Berdorf,2019,1794,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM06003: Berdorf,2020,1868,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM06003: Berdorf,2021,1951,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM06003: Berdorf,2022,1984,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM06003: Berdorf,2023,2219,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM09005: Kehlen,2015,5375,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM09005: Kehlen,2016,5457,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM09005: Kehlen,2017,5903,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM09005: Kehlen,2018,6056,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM09005: Kehlen,2019,6143,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM09005: Kehlen,2020,6232,,,,,,0: Zéro
LU1:DF_X021(1.0),A: Annuelle,CM09005: Kehlen,2021,6138,,,,,,0: Zéro
