"","CELLCODE","maxm2LAU2","COMMUNE","m2_sh_of_LAU2","Pop2021EU","SumPop2021EU","Pop2021EU_sh_of_LAU2","SumSurf2012_m2","SumSurf2018_m2","LAU2Surf2012_m2","LAU2Surf2018_m2","Urban2012_sh_of_LAU2","Urban2018_sh_of_LAU2","artifLand_capita18"
"1671","1kmE4017N2973","0704","Rambrouch",0.0111111111111111,0,6322,0,0,0,1022057.45673308,1041495.54002311,0,0,NA
"1672","1kmE4017N2974","0704","Rambrouch",0.0111111111111111,17,6322,0.00268902246124644,9332.60428548303,9332.60428548303,1022057.45673308,1041495.54002311,0.00913119338252654,0.00896077220385976,548.976722675472
"1673","1kmE4017N2975","0704","Rambrouch",0.0111111111111111,0,6322,0,0,0,1022057.45673308,1041495.54002311,0,0,NA
"1674","1kmE4017N2976","0704","Rambrouch",0.0111111111111111,0,6322,0,0,0,1022057.45673308,1041495.54002311,0,0,NA
"1675","1kmE4017N2977","0704","Rambrouch",0.0111111111111111,138,6322,0.0218285352736476,27958.3709686824,28699.055081565,1022057.45673308,1041495.54002311,0.0273549894719705,0.027555619758994,207.964167257717
"1676","1kmE4017N2978","0704","Rambrouch",0.0111111111111111,22,6322,0.00347991142043657,4225.33609748203,4225.33609748203,1022057.45673308,1041495.54002311,0.00413414732180317,0.00405698914216019,192.060731703729
"1664","1kmE4017N2979","0704","Rambrouch",0.0111111111111111,0,6322,0,0,0,1022057.45673308,1041495.54002311,0,0,NA
"1665","1kmE4017N2980","0704","Rambrouch",0.0111111111111111,0,6322,0,0,0,1022057.45673308,1041495.54002311,0,0,NA
"1639","1kmE4017N2981","0704","Rambrouch",0.0111111111111111,16,6322,0.00253084466940841,0,0,1022057.45673308,1041495.54002311,0,0,0
"1640","1kmE4017N2982","0704","Rambrouch",0.0111111111111111,0,6322,0,0,0,1022057.45673308,1041495.54002311,0,0,NA
"1850","1kmE4017N2983","0801","Boulaide",0.027027027027027,0,1439,0,0,0,347807.354471137,388607.200150133,0,0,NA
"1857","1kmE4017N2984","0801","Boulaide",0.027027027027027,6,1439,0.00416956219596942,3132.29897314347,3132.29897314347,347807.354471137,388607.200150133,0.00900584456561113,0.00806032150699563,522.049828857246
"1864","1kmE4017N2985","0801","Boulaide",0.027027027027027,141,1439,0.0979847116052815,50786.1219147187,50786.1219147187,347807.354471137,388607.200150133,0.146017964433047,0.130687547464633,360.185261806516
"1870","1kmE4017N2986","0801","Boulaide",0.027027027027027,0,1439,0,0,0,347807.354471137,388607.200150133,0,0,NA
"2029","1kmE4017N2987","0806","Lac de la Haute Sûre",0.0175438596491228,0,2224,0,0,0,547635.834790329,576001.985106738,0,0,NA
"2017","1kmE4017N2988","0806","Lac de la Haute Sûre",0.0175438596491228,0,2224,0,0,0,547635.834790329,576001.985106738,0,0,NA
"2032","1kmE4017N2989","0806","Lac de la Haute Sûre",0.0175438596491228,19,2224,0.0085431654676259,0,0,547635.834790329,576001.985106738,0,0,0
"2033","1kmE4017N2990","0806","Lac de la Haute Sûre",0.0175438596491228,0,2224,0,0,0,547635.834790329,576001.985106738,0,0,NA
"2030","1kmE4017N2991","0806","Lac de la Haute Sûre",0.0175438596491228,0,2224,0,0,0,547635.834790329,576001.985106738,0,0,NA
"391","1kmE4018N2944","0209","Pétange",0.0526315789473684,999,20694,0.0482748622789214,0,0,1539469.66221608,1539469.66221621,0,0,0
"390","1kmE4018N2945","0209","Pétange",0.0526315789473684,844,20694,0.0407847685319416,86936.5000320565,86936.5000320565,1539469.66221608,1539469.66221621,0.0564717202071462,0.0564717202071414,103.005331791536
"394","1kmE4018N2946","0209","Pétange",0.0526315789473684,0,20694,0,0,0,1539469.66221608,1539469.66221621,0,0,NA
"1622","1kmE4018N2971","0703","Ell",0.0416666666666667,0,1590,0,107.085970372625,107.085970372625,255673.670545735,262828.826099851,0.000418838475405192,0.000407436170383922,Inf
"1634","1kmE4018N2972","0703","Ell",0.0416666666666667,0,1590,0,0,0,255673.670545735,262828.826099851,0,0,NA
"1682","1kmE4018N2973","0704","Rambrouch",0.0111111111111111,0,6322,0,0,0,1022057.45673308,1041495.54002311,0,0,NA
"1683","1kmE4018N2974","0704","Rambrouch",0.0111111111111111,220,6322,0.0347991142043657,66739.8775662808,67618.5502207911,1022057.45673308,1041495.54002311,0.0652995358789407,0.0649244741070043,307.357046458141
"1693","1kmE4018N2975","0704","Rambrouch",0.0111111111111111,9,6322,0.00142360012654223,2034.02344144266,2034.02344144266,1022057.45673308,1041495.54002311,0.00199012631632691,0.00195298334296998,226.00260460474
"1694","1kmE4018N2976","0704","Rambrouch",0.0111111111111111,0,6322,0,0,0,1022057.45673308,1041495.54002311,0,0,NA
"1699","1kmE4018N2977","0704","Rambrouch",0.0111111111111111,20,6322,0.00316355583676052,7465.78730941284,7465.78730941284,1022057.45673308,1041495.54002311,0.00730466497771719,0.00716833344216449,373.289365470642
"1700","1kmE4018N2978","0704","Rambrouch",0.0111111111111111,62,6322,0.00980702309395761,18265.2185350762,18265.2185350762,1022057.45673308,1041495.54002311,0.0178710290842741,0.0175374908803458,294.600298952841
"1697","1kmE4018N2979","0704","Rambrouch",0.0111111111111111,477,6322,0.0754508067067384,108451.901431755,108451.901431755,1022057.45673308,1041495.54002311,0.106111354814055,0.10413093216832,227.362476796132
"1698","1kmE4018N2980","0704","Rambrouch",0.0111111111111111,0,6322,0,0,0,1022057.45673308,1041495.54002311,0,0,NA
"1690","1kmE4018N2981","0704","Rambrouch",0.0111111111111111,0,6322,0,0,0,1022057.45673308,1041495.54002311,0,0,NA
"1868","1kmE4018N2982","0801","Boulaide",0.027027027027027,4,1439,0.00277970813064628,0,0,347807.354471137,388607.200150133,0,0,0
"1860","1kmE4018N2983","0801","Boulaide",0.027027027027027,0,1439,0,0,0,347807.354471137,388607.200150133,0,0,NA
"1852","1kmE4018N2984","0801","Boulaide",0.027027027027027,0,1439,0,0,0,347807.354471137,388607.200150133,0,0,NA
"1853","1kmE4018N2985","0801","Boulaide",0.027027027027027,119,1439,0.0826963168867269,40963.4959921094,40963.4959921094,347807.354471137,388607.200150133,0.117776393930476,0.105411057685714,344.231058757222
"1862","1kmE4018N2986","0801","Boulaide",0.027027027027027,0,1439,0,0,0,347807.354471137,388607.200150133,0,0,NA
"2011","1kmE4018N2987","0806","Lac de la Haute Sûre",0.0175438596491228,2,2224,0.000899280575539568,0,0,547635.834790329,576001.985106738,0,0,0
"2025","1kmE4018N2988","0806","Lac de la Haute Sûre",0.0175438596491228,420,2224,0.188848920863309,96191.930678885,97810.8898549479,547635.834790329,576001.985106738,0.175649445430673,0.169809987437496,232.883071083209
"2013","1kmE4018N2989","0806","Lac de la Haute Sûre",0.0175438596491228,83,2224,0.0373201438848921,22839.7539389724,22839.7539389312,547635.834790329,576001.985106738,0.041706098264583,0.0396522139323857,275.177758300376
"2014","1kmE4018N2990","0806","Lac de la Haute Sûre",0.0175438596491228,63,2224,0.0283273381294964,19740.7874789361,19740.7874789791,547635.834790329,576001.985106738,0.0360472895030585,0.0342720823702039,313.345832999668
"2015","1kmE4018N2991","0806","Lac de la Haute Sûre",0.0175438596491228,0,2224,0,316.137431580597,316.137431580597,547635.834790329,576001.985106738,0.000577276743954557,0.000548847816074824,Inf
"2003","1kmE4018N2992","0806","Lac de la Haute Sûre",0.0175438596491228,0,2224,0,0,0,547635.834790329,576001.985106738,0,0,NA
"250","1kmE4019N2942","0202","Differdange",0.0357142857142857,208,27820,0.00747663551401869,17289.6601682634,17289.6601682634,1515724.3556153,1525542.52175985,0.0114068630646531,0.0113334501802796,83.123366193574
"249","1kmE4019N2943","0202","Differdange",0.0357142857142857,372,27820,0.013371675053918,9527.33171103932,9527.33171103932,1515724.3556153,1525542.52175985,0.00628566247929145,0.00624520888480296,25.6111067501057
"397","1kmE4019N2944","0209","Pétange",0.0526315789473684,207,20694,0.0100028993911279,0,0,1539469.66221608,1539469.66221621,0,0,0
"393","1kmE4019N2945","0209","Pétange",0.0526315789473684,3145,20694,0.151976418285493,257961.354865181,257961.354865312,1539469.66221608,1539469.66221621,0.167565078543895,0.167565078543965,82.0226883514505
"392","1kmE4019N2946","0209","Pétange",0.0526315789473684,483,20694,0.0233400985792983,11658.7662324231,11658.7662324231,1539469.66221608,1539469.66221621,0.00757323545800842,0.00757323545800777,24.1382323652652
"1619","1kmE4019N2968","0703","Ell",0.0416666666666667,63,1590,0.039622641509434,0,0,255673.670545735,262828.826099851,0,0,0
"1612","1kmE4019N2969","0703","Ell",0.0416666666666667,0,1590,0,0,0,255673.670545735,262828.826099851,0,0,NA
"1614","1kmE4019N2970","0703","Ell",0.0416666666666667,142,1590,0.0893081761006289,17711.5131246775,17711.5131246775,255673.670545735,262828.826099851,0.0692739032801943,0.0673880159474926,124.728965666743
"1627","1kmE4019N2971","0703","Ell",0.0416666666666667,164,1590,0.10314465408805,41485.957072197,41485.957072197,255673.670545735,262828.826099851,0.162261358330896,0.157844014630405,252.96315287925
"1631","1kmE4019N2972","0703","Ell",0.0416666666666667,0,1590,0,0,0,255673.670545735,262828.826099851,0,0,NA
"1626","1kmE4019N2973","0703","Ell",0.0416666666666667,0,1590,0,0,0,255673.670545735,262828.826099851,0,0,NA
"1625","1kmE4019N2974","0703","Ell",0.0416666666666667,0,1590,0,0,0,255673.670545735,262828.826099851,0,0,NA
"1719","1kmE4019N2975","0704","Rambrouch",0.0111111111111111,0,6322,0,0,0,1022057.45673308,1041495.54002311,0,0,NA
"1720","1kmE4019N2976","0704","Rambrouch",0.0111111111111111,0,6322,0,0,0,1022057.45673308,1041495.54002311,0,0,NA
"1712","1kmE4019N2977","0704","Rambrouch",0.0111111111111111,0,6322,0,0,0,1022057.45673308,1041495.54002311,0,0,NA
"1678","1kmE4019N2978","0704","Rambrouch",0.0111111111111111,11,6322,0.00173995571021829,0,0,1022057.45673308,1041495.54002311,0,0,0
"1651","1kmE4019N2979","0704","Rambrouch",0.0111111111111111,0,6322,0,0,0,1022057.45673308,1041495.54002311,0,0,NA
"1652","1kmE4019N2980","0704","Rambrouch",0.0111111111111111,0,6322,0,0,0,1022057.45673308,1041495.54002311,0,0,NA
"1653","1kmE4019N2981","0704","Rambrouch",0.0111111111111111,22,6322,0.00347991142043657,0,0,1022057.45673308,1041495.54002311,0,0,0
"1883","1kmE4019N2982","0801","Boulaide",0.027027027027027,4,1439,0.00277970813064628,531.044439151883,531.044439151883,347807.354471137,388607.200150133,0.00152683499162739,0.00136653268119253,132.761109787971
"1884","1kmE4019N2983","0801","Boulaide",0.027027027027027,37,1439,0.0257123002084781,8575.48202391264,12950.7417997493,347807.354471137,388607.200150133,0.0246558386810198,0.0333260469562736,350.020048641874
"1876","1kmE4019N2984","0801","Boulaide",0.027027027027027,0,1439,0,0,0,347807.354471137,388607.200150133,0,0,NA
"1885","1kmE4019N2985","0801","Boulaide",0.027027027027027,0,1439,0,0,0,347807.354471137,388607.200150133,0,0,NA
"1879","1kmE4019N2986","0801","Boulaide",0.027027027027027,0,1439,0,0,0,347807.354471137,388607.200150133,0,0,NA
"2026","1kmE4019N2987","0806","Lac de la Haute Sûre",0.0175438596491228,0,2224,0,0,0,547635.834790329,576001.985106738,0,0,NA
"2018","1kmE4019N2988","0806","Lac de la Haute Sûre",0.0175438596491228,147,2224,0.0660971223021583,28872.245001618,28872.245001618,547635.834790329,576001.985106738,0.0527216138306074,0.0501252526000717,196.40982994298
"2005","1kmE4019N2989","0806","Lac de la Haute Sûre",0.0175438596491228,0,2224,0,0,0,547635.834790329,576001.985106738,0,0,NA
"2006","1kmE4019N2990","0806","Lac de la Haute Sûre",0.0175438596491228,346,2224,0.155575539568345,71519.8827526925,75588.0546325719,547635.834790329,576001.985106738,0.130597521581244,0.131228809252393,218.462585643271
"2020","1kmE4019N2991","0806","Lac de la Haute Sûre",0.0175438596491228,39,2224,0.0175359712230216,6450.74480445553,6450.74480445553,547635.834790329,576001.985106738,0.011779259856005,0.0111991711335164,165.403712934757
"2001","1kmE4019N2992","0806","Lac de la Haute Sûre",0.0175438596491228,0,2224,0,0,0,547635.834790329,576001.985106738,0,0,NA
"237","1kmE4020N2941","0202","Differdange",0.0357142857142857,0,27820,0,0,0,1515724.3556153,1525542.52175985,0,0,NA
"251","1kmE4020N2942","0202","Differdange",0.0357142857142857,0,27820,0,0,0,1515724.3556153,1525542.52175985,0,0,NA
"260","1kmE4020N2943","0202","Differdange",0.0357142857142857,4,27820,0.000143781452192667,0,0,1515724.3556153,1525542.52175985,0,0,0
"398","1kmE4020N2944","0209","Pétange",0.0526315789473684,324,20694,0.015656712090461,24150.3143640563,24150.3143640563,1539469.66221608,1539469.66221621,0.0156874246740866,0.0156874246740852,74.5380072964701
"408","1kmE4020N2945","0209","Pétange",0.0526315789473684,3442,20694,0.166328404368416,322769.966380495,322769.966380495,1539469.66221608,1539469.66221621,0.209663090025343,0.209663090025325,93.7739588554606
"396","1kmE4020N2946","0209","Pétange",0.0526315789473684,1228,20694,0.0593408717502658,47039.9672390673,47039.9672390673,1539469.66221608,1539469.66221621,0.0305559559850973,0.0305559559850947,38.3061622467974
"399","1kmE4020N2947","0209","Pétange",0.0526315789473684,1114,20694,0.0538320286073258,0,0,1539469.66221608,1539469.66221621,0,0,0
"105","1kmE4020N2950","0104","Käerjeng",0.0256410256410256,5,13954,0.000358320194926186,0,0,1906265.52940412,1924144.40330846,0,0,0
"107","1kmE4020N2951","0104","Käerjeng",0.0256410256410256,0,13954,0,0,0,1906265.52940412,1924144.40330846,0,0,NA
"1588","1kmE4020N2965","0701","Beckerich",0.03125,26,2817,0.00922967696130635,1349.76489680037,1349.76489680037,422270.033660032,422270.033660091,0.00319644963934869,0.00319644963934825,51.9140344923219
"1583","1kmE4020N2966","0701","Beckerich",0.03125,0,2817,0,50.9207425877452,50.9207425877452,422270.033660032,422270.033660091,0.00012058810365109,0.000120588103651073,Inf
"1570","1kmE4020N2967","0701","Beckerich",0.03125,0,2817,0,0,0,422270.033660032,422270.033660091,0,0,NA
"1624","1kmE4020N2968","0703","Ell",0.0416666666666667,22,1590,0.0138364779874214,4384.33350387081,4384.33350387081,255673.670545735,262828.826099851,0.01714816193045,0.0166813266601326,199.287886539582
"1615","1kmE4020N2969","0703","Ell",0.0416666666666667,208,1590,0.130817610062893,13037.9240615787,13037.9240615936,255673.670545735,262828.826099851,0.0509943946662527,0.0496061419710499,62.6823272192
"1616","1kmE4020N2970","0703","Ell",0.0416666666666667,106,1590,0.0666666666666667,2471.77541539893,6622.6634248985,255673.670545735,262828.826099851,0.0096676963651475,0.0251976296632793,62.4779568386651
"1618","1kmE4020N2971","0703","Ell",0.0416666666666667,0,1590,0,0,0,255673.670545735,262828.826099851,0,0,NA
"1617","1kmE4020N2972","0703","Ell",0.0416666666666667,19,1590,0.0119496855345912,101.935220873356,101.935220873356,255673.670545735,262828.826099851,0.000398692679835883,0.000387838816563559,5.36501162491347
"1628","1kmE4020N2973","0703","Ell",0.0416666666666667,372,1590,0.233962264150943,48733.8980519291,51738.1655965921,255673.670545735,262828.826099851,0.190609764188493,0.196851183960074,139.08109031342
"1621","1kmE4020N2974","0703","Ell",0.0416666666666667,0,1590,0,0,0,255673.670545735,262828.826099851,0,0,NA
"1632","1kmE4020N2975","0703","Ell",0.0416666666666667,0,1590,0,0,0,255673.670545735,262828.826099851,0,0,NA
"1724","1kmE4020N2976","0704","Rambrouch",0.0111111111111111,0,6322,0,0,0,1022057.45673308,1041495.54002311,0,0,NA
"1721","1kmE4020N2977","0704","Rambrouch",0.0111111111111111,0,6322,0,0,0,1022057.45673308,1041495.54002311,0,0,NA
"1717","1kmE4020N2978","0704","Rambrouch",0.0111111111111111,17,6322,0.00268902246124644,0,0,1022057.45673308,1041495.54002311,0,0,0
"1713","1kmE4020N2979","0704","Rambrouch",0.0111111111111111,23,6322,0.0036380892122746,7624.40698657409,8998.86070048568,1022057.45673308,1041495.54002311,0.00745986141615252,0.00864032571880814,391.254813064595
"1691","1kmE4020N2980","0704","Rambrouch",0.0111111111111111,112,6322,0.0177159126858589,29993.778461193,30010.6567165185,1022057.45673308,1041495.54002311,0.0293464699695705,0.0288149642156437,267.952292111773
"1874","1kmE4020N2981","0801","Boulaide",0.027027027027027,0,1439,0,0,0,347807.354471137,388607.200150133,0,0,NA
"1865","1kmE4020N2982","0801","Boulaide",0.027027027027027,0,1439,0,0,0,347807.354471137,388607.200150133,0,0,NA
"1866","1kmE4020N2983","0801","Boulaide",0.027027027027027,525,1439,0.364836692147325,145957.60747106,150383.628938235,347807.354471137,388607.200150133,0.419650722144729,0.386981066949187,286.4450075014
"1882","1kmE4020N2984","0801","Boulaide",0.027027027027027,523,1439,0.363446838082001,68778.8869148482,96109.2020257749,347807.354471137,388607.200150133,0.197749949880821,0.247317090338636,183.765204638193
"1886","1kmE4020N2985","0801","Boulaide",0.027027027027027,22,1439,0.0152883947185546,4540.24555476235,9208.49487982077,347807.354471137,388607.200150133,0.0130539089999005,0.0236961509623681,418.567949082762
"1869","1kmE4020N2986","0801","Boulaide",0.027027027027027,0,1439,0,0,0,347807.354471137,388607.200150133,0,0,NA
"2050","1kmE4020N2987","0806","Lac de la Haute Sûre",0.0175438596491228,0,2224,0,0,0,547635.834790329,576001.985106738,0,0,NA
"2049","1kmE4020N2988","0806","Lac de la Haute Sûre",0.0175438596491228,0,2224,0,0,0,547635.834790329,576001.985106738,0,0,NA
"2046","1kmE4020N2989","0806","Lac de la Haute Sûre",0.0175438596491228,0,2224,0,0,0,547635.834790329,576001.985106738,0,0,NA
"2038","1kmE4020N2990","0806","Lac de la Haute Sûre",0.0175438596491228,0,2224,0,389.138504381478,802.871674902271,547635.834790329,576001.985106738,0.00071057896445083,0.0013938696318095,Inf
"2127","1kmE4020N2991","0808","Winseler",0.0277777777777778,0,1450,0,0,0,284455.83351068,293461.465740947,0,0,NA
"2123","1kmE4020N2992","0808","Winseler",0.0277777777777778,0,1450,0,0,0,284455.83351068,293461.465740947,0,0,NA
"2111","1kmE4020N2993","0808","Winseler",0.0277777777777778,0,1450,0,0,0,284455.83351068,293461.465740947,0,0,NA
"243","1kmE4021N2940","0202","Differdange",0.0357142857142857,737,27820,0.0264917325664989,0,0,1515724.3556153,1525542.52175985,0,0,0
"239","1kmE4021N2941","0202","Differdange",0.0357142857142857,0,27820,0,0,0,1515724.3556153,1525542.52175985,0,0,NA
"238","1kmE4021N2942","0202","Differdange",0.0357142857142857,0,27820,0,0,0,1515724.3556153,1525542.52175985,0,0,NA
"240","1kmE4021N2943","0202","Differdange",0.0357142857142857,0,27820,0,0,0,1515724.3556153,1525542.52175985,0,0,NA
"395","1kmE4021N2944","0209","Pétange",0.0526315789473684,0,20694,0,0,0,1539469.66221608,1539469.66221621,0,0,NA
"401","1kmE4021N2945","0209","Pétange",0.0526315789473684,1664,20694,0.080409780612738,170248.048489358,170248.048489358,1539469.66221608,1539469.66221621,0.110588764863534,0.110588764863524,102.312529140239
"404","1kmE4021N2946","0209","Pétange",0.0526315789473684,1350,20694,0.0652363003769209,134193.155570177,134193.155570177,1539469.66221608,1539469.66221621,0.0871684313525247,0.0871684313525173,99.4023374593904
"407","1kmE4021N2947","0209","Pétange",0.0526315789473684,280,20694,0.013530491930028,45768.9490879644,45768.9490879644,1539469.66221608,1539469.66221621,0.0297303352000321,0.0297303352000296,163.460532457016
"402","1kmE4021N2948","0209","Pétange",0.0526315789473684,0,20694,0,0,0,1539469.66221608,1539469.66221621,0,0,NA
"101","1kmE4021N2949","0104","Käerjeng",0.0256410256410256,203,13954,0.0145477999140032,0,0,1906265.52940412,1924144.40330846,0,0,0
"108","1kmE4021N2950","0104","Käerjeng",0.0256410256410256,0,13954,0,0,0,1906265.52940412,1924144.40330846,0,0,NA
"100","1kmE4021N2951","0104","Käerjeng",0.0256410256410256,38,13954,0.00272323348143901,0,0,1906265.52940412,1924144.40330846,0,0,0
"1564","1kmE4021N2964","0701","Beckerich",0.03125,71,2817,0.025204117855875,0,0,422270.033660032,422270.033660091,0,0,0
"1567","1kmE4021N2965","0701","Beckerich",0.03125,236,2817,0.0837770678026269,32994.0573646811,32994.0573646811,422270.033660032,422270.033660091,0.0781349722562707,0.07813497225626,139.805327816445
"1565","1kmE4021N2966","0701","Beckerich",0.03125,197,2817,0.0699325523606674,20378.01960677,20378.01960677,422270.033660032,422270.033660091,0.0482582659966259,0.0482582659966193,103.441723892234
"1572","1kmE4021N2967","0701","Beckerich",0.03125,0,2817,0,0,0,422270.033660032,422270.033660091,0,0,NA
"1630","1kmE4021N2968","0703","Ell",0.0416666666666667,0,1590,0,0,0,255673.670545735,262828.826099851,0,0,NA
"1629","1kmE4021N2969","0703","Ell",0.0416666666666667,18,1590,0.0113207547169811,10582.0990284777,10582.0990284265,255673.670545735,262828.826099851,0.0413890840065393,0.0402623227651837,587.894390468142
"1633","1kmE4021N2970","0703","Ell",0.0416666666666667,0,1590,0,0,0,255673.670545735,262828.826099851,0,0,NA
"1623","1kmE4021N2971","0703","Ell",0.0416666666666667,0,1590,0,0,0,255673.670545735,262828.826099851,0,0,NA
"1774","1kmE4021N2972","0706","Redange",0.0303030303030303,118,3035,0.0388797364085667,30590.2498512229,30590.2498512229,605018.715656218,609149.40011118,0.0505608323505232,0.0502179758293116,259.239405518838
"1769","1kmE4021N2973","0706","Redange",0.0303030303030303,14,3035,0.00461285008237232,0,0,605018.715656218,609149.40011118,0,0,0
"1772","1kmE4021N2974","0706","Redange",0.0303030303030303,0,3035,0,0,0,605018.715656218,609149.40011118,0,0,NA
"1685","1kmE4021N2975","0704","Rambrouch",0.0111111111111111,0,6322,0,0,0,1022057.45673308,1041495.54002311,0,0,NA
"1686","1kmE4021N2976","0704","Rambrouch",0.0111111111111111,13,6322,0.00205631129389434,1824.30202959182,1824.3020295908,1022057.45673308,1041495.54002311,0.00178493099147581,0.00175161770692778,140.330925353138
